identifier,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,zero_crossing_rate,spectral_rolloff,spectral_centroid,rms
vK2bLRNzllXNeyOMudnNSL5cfpG2,-347.74695,42.50066,-3.5417047,2.888123,-10.078894,3.8235013,0.76502085,-1.245408,0.3247775,-3.6915274,1.6005787,2.215981,6.3966956,0.56648105,0.46186417,0.44209805,0.47033927,0.48677236,0.50651485,0.5105607,0.47690004,0.5054234,0.5209201,0.51454926,0.56390417,15.911417460735969,9.4335593762333,13.268408836066376,14.572392713732901,19.415505520866695,16.327875920368832,18.851255178849527,0.06258802816901408,7916.857394366197,3760.720739779064,0.05330279
bjA2KpSxneNskrLBeqi4bqoTDQl2,-438.08948,60.08207,-12.553159,3.8096256,1.3445574,-8.581845,-1.1120491,-12.591388,-12.022196,-3.4001818,-10.918039,-3.5844471,5.6646175,0.3765535,0.40982512,0.37293693,0.3511785,0.4446959,0.44324163,0.40741828,0.47477195,0.469054,0.47801796,0.47211373,0.39344627,17.67290678658996,10.738251770156493,14.0142348131859,16.93612393073889,21.03653239628441,21.945249520322093,28.86138971129363,0.08091672867063492,7507.2172619047615,3863.1675364158355,0.040344395
FSzobvJqOXf0rI6X05cHqOiU9Mu2,-328.00018,131.56352,-77.8271,-26.289635,4.1841187,-23.064356,-5.5739703,-3.407247,-7.2624125,-10.535873,-20.870485,-2.1706622,2.0318959,0.31652007,0.37526548,0.41482115,0.43043604,0.40032533,0.47964433,0.5496734,0.5389083,0.5089308,0.3742948,0.2518641,0.27319574,19.10026608682185,10.893794087508512,12.719630544420893,14.494568958453685,18.49317518350782,23.474133979567217,31.78812653676186,0.08127689932634731,3957.2885479041915,2490.7099566841052,0.119323544
EqDWckxbsETyHUeBLQ8jLtxlhir2,-358.07828,105.7531,4.550392,-1.6624231,-14.764269,4.6725154,-10.619116,-18.483532,-17.696579,-1.5021248,-5.6874866,-9.343211,-2.8162558,0.55705875,0.50717014,0.42575502,0.38624,0.39354342,0.44604272,0.47578865,0.42789462,0.43838593,0.5059532,0.51123834,0.51293886,15.337155544709644,10.387601418643257,12.653531077810385,14.692492728428165,17.98076511754552,17.438661524802455,26.790634427600672,0.089925007091528,7148.111289712557,3579.2427748252608,0.06066224
FGRDO4IBbAejR0WHD5YbkXTCasg2,-339.97177,66.43464,9.701495,12.129751,9.302468,1.9334183,1.0882393,7.936245,-1.5482695,-2.8124197,-17.525616,-0.91403025,-1.7421545,0.5145135,0.47732928,0.49715582,0.4498937,0.3634914,0.3551672,0.39498517,0.44300607,0.4139773,0.4294442,0.4962523,0.53230363,18.306386016208318,10.752994326907494,14.085092942342335,15.475654959286267,17.928474410578737,19.03864431003966,29.16852703268247,0.11484162703804347,12512.136840820312,5203.615389764281,0.055622205
htQzROl26OWQpIYFDzv11F79PLR2,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pW9mCAeWYiMoM7wW7riLvNRbYDO2,-338.21262,80.63441,-45.295033,4.175539,-7.5528274,-24.289234,6.59565,-10.435157,-14.116757,-7.059596,-22.907715,-4.4450803,9.721311,0.34207785,0.4425351,0.4749016,0.53545034,0.53040725,0.4114815,0.29910108,0.2790804,0.2720634,0.27403408,0.25331977,0.23026873,14.193327845222944,10.579344379488155,16.21643348377402,19.041612188569342,20.074547056730637,17.12842642011415,35.10838872061702,0.09322287819602272,5480.513139204545,3188.1499335782178,0.10225086
Eu11s84cuBTiPXTAtVf9mj3GkqA2,-514.6617,56.87375,-36.677986,-5.956159,-9.394791,-9.732954,15.050613,-4.1962533,-8.8852415,3.2816765,-2.7819712,5.660843,2.8387425,0.44466498,0.39402705,0.349139,0.37062243,0.42045194,0.508863,0.6361666,0.5617227,0.5955053,0.52233094,0.45873493,0.44774655,14.95656014295809,8.399846641394923,11.299532865504045,15.400843077424677,19.419818058668923,17.28255084439864,26.93164344504994,0.07286028560729847,7512.254901960784,3562.3455724443525,0.022509057
L7S8iIPKgiO6QWLC3mGkROCMa0s1,-354.2681,123.33365,-24.616884,8.892975,-5.3953466,-23.435947,12.571096,-2.726603,-12.033296,1.8998653,-13.08873,-9.535098,1.5798492,0.37641966,0.4211383,0.4921097,0.60103947,0.52872807,0.3954913,0.36774573,0.39508536,0.423091,0.42584425,0.38583168,0.36764818,22.28448233565548,9.941622525641689,13.42515470007411,18.2983313319266,23.787561275304473,23.36592855822559,34.046720435838274,0.06763147424768519,4559.157986111111,2372.7173610898276,0.0759401
eP8gEM0KcBU6S5JpMdycX74KP3p2,-304.62592,125.6858,10.502429,15.823672,6.4142785,15.293268,11.111364,3.627197,2.4778848,2.2202866,-4.8254256,-6.2174225,-1.8285304,0.543081,0.60448825,0.5875111,0.5212535,0.4736422,0.47962955,0.48587173,0.48536083,0.5454363,0.59531516,0.60435,0.5490523,11.956296567086415,10.882677799006396,12.213373191579983,14.628414611679466,17.280399966541065,19.758451998841075,27.763606120600926,0.03517196931589537,4116.087147887324,2016.8468178063526,0.07062115
