min_breathing_deep,max_breathing_deep,identifier
-6136,5828,vK2bLRNzllXNeyOMudnNSL5cfpG2
-2230,2283,bjA2KpSxneNskrLBeqi4bqoTDQl2
-2480,3204,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-711,676,EqDWckxbsETyHUeBLQ8jLtxlhir2
-5960,5900,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-7802,9907,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-1352,1355,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-7915,8317,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-12149,11942,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-457,359,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-17870,13709,QQbzKidDxHQ0eZFEL4uG68s1lc02
-19406,18927,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-17784,18018,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-26426,32294,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-4843,4424,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-16944,15032,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-8839,10707,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-32688,32694,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-29960,32019,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-12801,12509,nMIOAh7qRFf3pqbchclOLKbPDOm1
-13281,12273,Pr79fov0a5TW5KPo0XACvIqMtO72
-26521,26332,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-25736,26740,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-1844,2399,KL32QXSSnLZlRRT2B6rQQQKgpx12
-1150,1199,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-11008,10973,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-16352,15974,l3umDXECeOUTZH8pFN19c2WM4m43
-28246,28463,XVjp63ocWZRqJRdxCtklUfmdklm2
-27236,28602,JmN2KXZoEThB2e8KFMbM7L4fOwy1
-2843,2908,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-20730,21023,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-31787,29470,kIHldMnyvmXvpLq0LjWr7ecclSj2
-24149,24114,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-8648,10121,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
0,0,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-11327,9974,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-23824,24118,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-4304,4057,n7ewrIqB7wUuK1FZGGjef18jtb52
-9576,10393,5le68NJRZWV6TrMTYn3j7gSlqTi2
-30592,30059,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-1009,851,1AuoEhB8vAfCtxTFFV0W916yBqA3
-24988,24869,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-8227,7298,VcmjCfW6ddgE9lFhDXTO6hDlb452
-3346,3380,maTMkkXbqOhLPOYLpGyMPPigDFt1
-2692,2620,UV965HIG9saPO9HjKNFSm2aFeBt2
-8348,8893,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-22811,22838,V247RjX91RY4fxtgfeWjvBhg89s2
-2372,1987,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-6512,7438,Eoyf44CUffgVCPPjJJkopEyAO7k2
-27386,28135,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-4291,6151,aGEXEhp3mbUandZBtCuEooDQrK53
-32743,32766,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-5125,5393,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-838,788,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-21156,19451,9D1go0wkvuPkFebFk4uQQpcBuZw1
-26986,23896,O2axQgHDogQ1mORlKYAGiPTiHvB3
-27528,27416,wawUd75qJgXdQz6qxRATEzuKvMn1
-9118,10360,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-7560,7806,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-3603,3334,l8qDG3sN6tczDZGHbgPje0suopx1
-26763,24364,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-3761,3699,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-7066,8835,jRjAYMmAQee5uVm5fU8yVnpuvs33
-30938,30299,0zexHIcM7tQDdnFiEj2Eb0v3g212
-821,740,uMry1yqi5sNoykw7ySJdITMv2yT2
-3799,5378,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-99,115,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-32765,32767,FLhjsgqrgQMKwNt5iEryxG5sDlW2
