min_cough_shallow,max_cough_shallow,identifier
-27587,27644,vK2bLRNzllXNeyOMudnNSL5cfpG2
-9595,7817,bjA2KpSxneNskrLBeqi4bqoTDQl2
-29000,30295,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-15780,16777,EqDWckxbsETyHUeBLQ8jLtxlhir2
-30772,27332,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-28056,28286,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-14606,17156,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-26442,26517,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-21862,25449,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-29001,26532,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-24111,24016,QQbzKidDxHQ0eZFEL4uG68s1lc02
-19966,21406,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-25549,27458,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-25881,28992,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-23880,23963,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-24187,25129,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-24168,26025,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-29858,26461,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-15364,16459,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-25678,27241,nMIOAh7qRFf3pqbchclOLKbPDOm1
-18215,21761,Pr79fov0a5TW5KPo0XACvIqMtO72
-28649,27501,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-32546,29707,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-3720,3171,KL32QXSSnLZlRRT2B6rQQQKgpx12
-30705,28301,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-27231,27602,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-26729,30598,l3umDXECeOUTZH8pFN19c2WM4m43
-31792,32361,XVjp63ocWZRqJRdxCtklUfmdklm2
-28069,30226,JmN2KXZoEThB2e8KFMbM7L4fOwy1
-24192,23878,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-26315,24400,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-32767,32767,kIHldMnyvmXvpLq0LjWr7ecclSj2
-25449,26506,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-32610,32685,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-24253,25684,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-1443,1592,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-26657,26882,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-24470,21351,n7ewrIqB7wUuK1FZGGjef18jtb52
-25676,26410,5le68NJRZWV6TrMTYn3j7gSlqTi2
-28294,26776,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-2965,2985,1AuoEhB8vAfCtxTFFV0W916yBqA3
-24290,25084,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-6986,6568,VcmjCfW6ddgE9lFhDXTO6hDlb452
-32162,25327,maTMkkXbqOhLPOYLpGyMPPigDFt1
-21102,20690,UV965HIG9saPO9HjKNFSm2aFeBt2
-32737,28121,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-24779,22698,V247RjX91RY4fxtgfeWjvBhg89s2
-7428,7969,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-32379,32759,Eoyf44CUffgVCPPjJJkopEyAO7k2
-24543,31595,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-20003,20598,aGEXEhp3mbUandZBtCuEooDQrK53
-9910,10457,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-22479,24158,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-4148,5322,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-32736,29360,9D1go0wkvuPkFebFk4uQQpcBuZw1
-27787,24995,O2axQgHDogQ1mORlKYAGiPTiHvB3
-27753,30792,wawUd75qJgXdQz6qxRATEzuKvMn1
-32644,32544,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-19174,18224,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-20479,19445,l8qDG3sN6tczDZGHbgPje0suopx1
-28962,29294,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-26937,29107,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-26103,27232,jRjAYMmAQee5uVm5fU8yVnpuvs33
-30062,30704,0zexHIcM7tQDdnFiEj2Eb0v3g212
-19531,23237,uMry1yqi5sNoykw7ySJdITMv2yT2
-31319,32251,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-31693,31645,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-31829,31376,FLhjsgqrgQMKwNt5iEryxG5sDlW2
