min_counting_fast,max_counting_fast,identifier
-15863,26657,vK2bLRNzllXNeyOMudnNSL5cfpG2
-21740,21257,bjA2KpSxneNskrLBeqi4bqoTDQl2
-27010,24552,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-27065,23784,EqDWckxbsETyHUeBLQ8jLtxlhir2
-14811,21802,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-27295,26856,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-9245,7901,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-26945,25822,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-16753,20418,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-21207,23435,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-23711,18248,QQbzKidDxHQ0eZFEL4uG68s1lc02
-18334,20567,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-22517,19079,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-24084,22434,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-26736,24906,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-17009,15655,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-17548,22647,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-24310,24161,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-28340,32220,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-16606,15027,nMIOAh7qRFf3pqbchclOLKbPDOm1
-13598,16681,Pr79fov0a5TW5KPo0XACvIqMtO72
-25607,26797,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-3818,4100,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-25984,28880,KL32QXSSnLZlRRT2B6rQQQKgpx12
-15728,12589,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-27289,30198,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-24504,25260,l3umDXECeOUTZH8pFN19c2WM4m43
-30792,29269,XVjp63ocWZRqJRdxCtklUfmdklm2
-27010,27179,JmN2KXZoEThB2e8KFMbM7L4fOwy1
0,0,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-30059,27318,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-16697,23535,kIHldMnyvmXvpLq0LjWr7ecclSj2
-7612,6547,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-9033,6963,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-24483,23994,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-61,59,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-17066,12207,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-19419,21552,n7ewrIqB7wUuK1FZGGjef18jtb52
-10397,16344,5le68NJRZWV6TrMTYn3j7gSlqTi2
-23749,23885,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-16967,18769,1AuoEhB8vAfCtxTFFV0W916yBqA3
-14022,14261,w1TDsR75t5PsGyAksqF3kMQ6DXT2
,,VcmjCfW6ddgE9lFhDXTO6hDlb452
-3999,5729,maTMkkXbqOhLPOYLpGyMPPigDFt1
-1400,1866,UV965HIG9saPO9HjKNFSm2aFeBt2
-23492,24268,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-21414,25367,V247RjX91RY4fxtgfeWjvBhg89s2
-24247,21429,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-18902,23486,Eoyf44CUffgVCPPjJJkopEyAO7k2
-23753,24073,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-22863,19308,aGEXEhp3mbUandZBtCuEooDQrK53
-22327,17684,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-27510,21838,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-11605,12497,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-26337,32767,9D1go0wkvuPkFebFk4uQQpcBuZw1
-23142,26656,O2axQgHDogQ1mORlKYAGiPTiHvB3
-27037,25579,wawUd75qJgXdQz6qxRATEzuKvMn1
-23987,19626,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-21943,19983,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-10757,12963,l8qDG3sN6tczDZGHbgPje0suopx1
-21170,24663,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-29138,30871,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-27641,25252,jRjAYMmAQee5uVm5fU8yVnpuvs33
-32767,30582,0zexHIcM7tQDdnFiEj2Eb0v3g212
-12387,10624,uMry1yqi5sNoykw7ySJdITMv2yT2
-25064,29931,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-22876,32680,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-31755,30465,FLhjsgqrgQMKwNt5iEryxG5sDlW2
