min_vowel_e,max_vowel_e,identifier
-13874,15392,vK2bLRNzllXNeyOMudnNSL5cfpG2
-5120,4883,bjA2KpSxneNskrLBeqi4bqoTDQl2
-24178,20867,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-27480,24927,EqDWckxbsETyHUeBLQ8jLtxlhir2
-29356,25576,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-26654,24509,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-1678,1574,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-25340,26873,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-15197,14433,eP8gEM0KcBU6S5JpMdycX74KP3p2
0,0,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-4918,6577,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-23270,20067,QQbzKidDxHQ0eZFEL4uG68s1lc02
-16326,18845,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-10676,14331,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-10266,8232,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-26179,24981,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-22704,21611,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-9,7,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-24224,24204,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-1232,1615,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-7085,7443,nMIOAh7qRFf3pqbchclOLKbPDOm1
-20978,17814,Pr79fov0a5TW5KPo0XACvIqMtO72
-22878,21947,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-2198,2396,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-6300,6169,KL32QXSSnLZlRRT2B6rQQQKgpx12
-8594,8440,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-12665,14674,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-25324,24967,l3umDXECeOUTZH8pFN19c2WM4m43
-28075,23734,XVjp63ocWZRqJRdxCtklUfmdklm2
-25537,24679,JmN2KXZoEThB2e8KFMbM7L4fOwy1
0,0,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-24511,28392,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-17521,17383,kIHldMnyvmXvpLq0LjWr7ecclSj2
-6552,7935,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-3352,3609,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-3461,3918,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-39,37,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-7047,7226,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-3106,3816,n7ewrIqB7wUuK1FZGGjef18jtb52
-7891,9304,5le68NJRZWV6TrMTYn3j7gSlqTi2
-27551,27542,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-15244,17943,1AuoEhB8vAfCtxTFFV0W916yBqA3
-5835,6877,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-6502,7741,VcmjCfW6ddgE9lFhDXTO6hDlb452
-4510,5635,maTMkkXbqOhLPOYLpGyMPPigDFt1
-1824,2526,UV965HIG9saPO9HjKNFSm2aFeBt2
-7650,10171,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-16921,21640,V247RjX91RY4fxtgfeWjvBhg89s2
-24674,18624,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-23945,24923,Eoyf44CUffgVCPPjJJkopEyAO7k2
-16570,20552,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-14116,10223,aGEXEhp3mbUandZBtCuEooDQrK53
-8283,9380,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-28157,27070,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-4128,4031,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-16074,18441,9D1go0wkvuPkFebFk4uQQpcBuZw1
-17562,24159,O2axQgHDogQ1mORlKYAGiPTiHvB3
-28102,20446,wawUd75qJgXdQz6qxRATEzuKvMn1
-11261,7875,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-7583,7740,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-9185,7474,l8qDG3sN6tczDZGHbgPje0suopx1
-10914,11928,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-22333,24105,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-24859,23159,jRjAYMmAQee5uVm5fU8yVnpuvs33
-27372,28455,0zexHIcM7tQDdnFiEj2Eb0v3g212
-12368,11414,uMry1yqi5sNoykw7ySJdITMv2yT2
-32016,30410,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-14784,15962,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-19767,19090,FLhjsgqrgQMKwNt5iEryxG5sDlW2
