min_vowel_o,max_vowel_o,identifier
-17953,27822,vK2bLRNzllXNeyOMudnNSL5cfpG2
-5935,4967,bjA2KpSxneNskrLBeqi4bqoTDQl2
-24875,23179,FSzobvJqOXf0rI6X05cHqOiU9Mu2
-26259,20332,EqDWckxbsETyHUeBLQ8jLtxlhir2
-12588,16395,FGRDO4IBbAejR0WHD5YbkXTCasg2
0,0,htQzROl26OWQpIYFDzv11F79PLR2
-27116,28416,pW9mCAeWYiMoM7wW7riLvNRbYDO2
-6818,9471,Eu11s84cuBTiPXTAtVf9mj3GkqA2
-22048,22550,L7S8iIPKgiO6QWLC3mGkROCMa0s1
-13769,18034,eP8gEM0KcBU6S5JpMdycX74KP3p2
-26680,23286,UiUUhL0PMjWVA6W2dKte1DCE6wG2
-5081,5417,2TkAK2YVkYS7Ux3hAPBUgYgg9DI3
-25662,17044,QQbzKidDxHQ0eZFEL4uG68s1lc02
-21191,18636,9ypQNsTsSQYlx72wxTLrHzzNoAJ2
-22192,19427,cfZUmZvsecYVKw5eSi4qIhfJVpI3
-24381,23162,5ZDF98UQUxcVuS9VhaWxKlVnXvs1
0,0,tiKv850hJFTmpCAvfJOmOOqkeUs1
-24158,25452,LqGeCxef4fN4IPanKEbWkO1fAwJ3
-20414,19353,XUsJp0qysAPtu3vBI0UCiHRJhZ22
-11827,8700,eZ9KEu3fmEgvxINqgcbkBXoEsv53
,,TRK6gUseEUS7dbF0soG80W1uLm53
-32591,32736,iq8oYXczSjPuJoVS7DBpkGNMC2p1
-26469,23209,O4BFgxvAgwbwRGZMkMBJRFnGBbd2
-9535,8548,nMIOAh7qRFf3pqbchclOLKbPDOm1
-6509,7422,Pr79fov0a5TW5KPo0XACvIqMtO72
-26540,24240,60Ig4PmU9NMqKGDMR8Um0Tc2KXB3
-1645,1920,CrlV0ddIqdbtxNnkIhtPS5dvoX42
-14359,14079,KL32QXSSnLZlRRT2B6rQQQKgpx12
-5971,5781,tOlOwYDEHCRx1QegeMOPaydVcgv1
0,0,zvXkuEaPb0OEgG4EHx59NqdmamR2
,,9XKj7fAmvwPUas9GFPZuTpev7T03
-21169,27432,0Rlzhiz6bybk77wdLjxwy7yLDhg1
-17811,21207,l3umDXECeOUTZH8pFN19c2WM4m43
-25302,18996,XVjp63ocWZRqJRdxCtklUfmdklm2
-24733,24789,JmN2KXZoEThB2e8KFMbM7L4fOwy1
0,0,SY4Ekt5W4VZdeIm5r3iLmjxz9pA2
-27610,26879,1ctsxp37dWNbCbizTioZzpAWqJx2
0,0,2XgDqzQkqLX9SbmSHfbqdRxSmRD2
-22039,23102,kIHldMnyvmXvpLq0LjWr7ecclSj2
-14530,10080,AI4aa1tjlXQw4iOH4RuTvgMtK3G3
0,0,U98J2q0NnycYzzUS2BYZpUa55X83
-3287,3727,NWqfdBx5mrglkG4TJ5Gt9mVnYOo2
-1754,1532,KGWBaTNrJmUgzGZw5Xh2ICSHVu92
-35,32,mFQ65xqfxpXiS6vwK1HKwq7j8o62
-32646,32666,9XJ2QSvS9CaIo5hSyRZcdst0K8P2
-11755,11614,n7ewrIqB7wUuK1FZGGjef18jtb52
-7175,8211,5le68NJRZWV6TrMTYn3j7gSlqTi2
-25882,24676,qHN6U03r3TRKVZ83fmWDDQvtDuz1
-16319,16362,1AuoEhB8vAfCtxTFFV0W916yBqA3
-5831,4987,w1TDsR75t5PsGyAksqF3kMQ6DXT2
-8568,8636,VcmjCfW6ddgE9lFhDXTO6hDlb452
-3892,7063,maTMkkXbqOhLPOYLpGyMPPigDFt1
-1742,1977,UV965HIG9saPO9HjKNFSm2aFeBt2
-7722,7817,LwfZvk9xa6bAJbz4wQGEcyoDOmL2
-16276,19065,V247RjX91RY4fxtgfeWjvBhg89s2
-20899,24456,g6L8s5Dtq8eIYUTeRWHq0Q7w5L32
-17605,20181,Eoyf44CUffgVCPPjJJkopEyAO7k2
-4856,6510,VrBIdIVnQkPbR9D2Gi7WCb17ST62
-17024,14041,aGEXEhp3mbUandZBtCuEooDQrK53
-11760,12524,tFFUbYL9nSNEyaBK3w9UAtATcgO2
-26370,28183,hRB1GYdlKAgCnwg4xFzAUE3SiUG2
-8455,13126,6MmSmB1lmmOiyKNNA0p7IuVe3CA3
-21850,24349,9D1go0wkvuPkFebFk4uQQpcBuZw1
-22281,24272,O2axQgHDogQ1mORlKYAGiPTiHvB3
-25319,22931,wawUd75qJgXdQz6qxRATEzuKvMn1
-23055,20093,n4t5cgNQKXO3F8KP55vWOgYWcXC3
-4719,7594,CAf8ILsDpQMeTPPLwi7nFlgRT2t1
-6731,5634,l8qDG3sN6tczDZGHbgPje0suopx1
-17893,22223,U7UmNZmqS6OWTiDkM7IfqkDRrae2
-26641,27232,G3iIP9QRHPTItOsK6lpEMd6IQKw1
-26575,25062,jRjAYMmAQee5uVm5fU8yVnpuvs33
-26963,32576,0zexHIcM7tQDdnFiEj2Eb0v3g212
-6904,6431,uMry1yqi5sNoykw7ySJdITMv2yT2
-21958,25295,3VWhvtBFHKMgEKxlXzMYeg5NeBN2
-20754,24823,xyDgyXrDoyXu5CFqcNe20LRjYqg1
-28421,26621,FLhjsgqrgQMKwNt5iEryxG5sDlW2
